This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Stock quote and option quote for QQQ on 8/17/26 11:58:10

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
731.07,Q,0,734.32,Q,734.38,P,120 x 480,"246,749",0,0,0

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,0.45%,6.524,.8135,Q,6/22/26,748.65,555.60,"669,450,000",1.23

17 AUG 26  (0)  100 (Weeklys)
,,LAST,LX,Net Chng,Gamma,Delta,Open.Int,Volume,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,LAST,LX,Net Chng,Gamma,Delta,Open.Int,Volume,,
,,34.97,X,0,.00,1.00,14,<empty>,30.69,T,32.45,T,17 AUG 26,699,.02,D,.03,X,.04,I,0,.00,-.01,687,<empty>,,
,,29.76,A,0,.00,1.00,108,<empty>,29.70,C,31.46,C,17 AUG 26,700,.02,W,.04,W,.04,X,0,.00,-.01,"3,104",<empty>,,
,,28.85,I,0,.00,1.00,19,<empty>,28.70,C,30.47,C,17 AUG 26,701,.02,J,.04,W,.03,C,0,.00,-.01,372,<empty>,,
,,27.62,M,0,.00,1.00,7,<empty>,28.24,Z,29.48,C,17 AUG 26,702,.02,W,.04,D,.03,A,0,.00,-.01,866,<empty>,,
,,26.67,C,0,.00,1.00,6,<empty>,26.71,N,28.46,C,17 AUG 26,703,.03,P,.04,H,.03,I,0,.00,-.01,365,<empty>,,
,,26.57,M,0,.00,1.00,137,<empty>,26.24,N,27.46,N,17 AUG 26,704,.03,Q,.04,Q,.04,U,0,.00,-.01,225,<empty>,,
,,25.10,N,0,.00,1.00,203,<empty>,24.72,T,26.47,C,17 AUG 26,705,.03,W,.04,X,.03,A,0,.00,-.01,"1,212",<empty>,,
,,23.33,A,0,.00,1.00,77,<empty>,23.73,T,25.46,C,17 AUG 26,706,.03,D,.05,I,.04,J,0,.00,-.01,"1,194",<empty>,,
,,22.81,I,0,.00,1.00,47,<empty>,22.73,N,24.46,N,17 AUG 26,707,.03,M,.05,I,.04,X,0,.00,-.01,599,<empty>,,
,,22.22,B,0,.00,1.00,14,<empty>,21.74,C,23.46,C,17 AUG 26,708,.04,I,.05,P,.04,X,0,.00,-.01,"1,455",<empty>,,
,,20.85,C,0,.00,1.00,54,<empty>,21.29,C,22.47,C,17 AUG 26,709,.05,D,.06,W,.05,X,0,.00,-.01,377,<empty>,,
,,20.23,A,0,.00,1.00,228,<empty>,20.30,C,21.48,C,17 AUG 26,710,.05,J,.06,H,.05,I,0,.00,-.01,"2,765",<empty>,,
,,18.21,I,0,.00,1.00,212,<empty>,18.77,C,20.47,C,17 AUG 26,711,.05,W,.07,D,.05,S,0,.00,-.02,353,<empty>,,
,,18.71,X,0,.00,1.00,171,<empty>,17.78,C,19.49,C,17 AUG 26,712,.06,Q,.07,N,.07,N,0,.00,-.02,506,<empty>,,
,,17.61,S,0,.00,1.00,223,<empty>,17.33,C,18.50,C,17 AUG 26,713,.07,W,.08,M,.07,I,0,.00,-.02,"1,131",<empty>,,
,,15.50,M,0,.00,1.00,991,<empty>,15.80,C,17.50,C,17 AUG 26,714,.08,I,.09,N,.09,A,0,.01,-.02,800,<empty>,,
,,16.19,E,0,.00,1.00,566,<empty>,14.83,C,16.52,C,17 AUG 26,715,.10,W,.11,W,.11,B,0,.01,-.03,"1,658",<empty>,,
,,15.09,M,0,.00,1.00,301,<empty>,13.84,C,15.53,C,17 AUG 26,716,.11,I,.12,X,.11,X,0,.01,-.03,353,<empty>,,
,,14.17,N,0,.00,1.00,291,<empty>,13.73,C,14.54,C,17 AUG 26,717,.14,I,.15,X,.15,M,0,.01,-.04,792,<empty>,,
,,12.58,M,0,.00,1.00,227,<empty>,11.89,C,13.58,C,17 AUG 26,718,.18,J,.19,I,.18,Q,0,.01,-.05,478,<empty>,,
,,12.14,I,0,.00,1.00,229,<empty>,10.93,C,12.61,T,17 AUG 26,719,.21,S,.22,P,.22,P,0,.01,-.05,"1,226",<empty>,,
,,11.20,I,0,.00,1.00,"1,074",<empty>,10.81,C,11.58,C,17 AUG 26,720,.25,I,.27,P,.26,C,0,.01,-.06,"1,619",<empty>,,
,,10.23,C,0,.00,1.00,364,<empty>,9.81,C,10.71,C,17 AUG 26,721,.30,S,.32,Q,.31,I,0,.01,-.07,515,<empty>,,
,,9.24,C,0,.00,1.00,360,<empty>,8.74,E,9.79,E,17 AUG 26,722,.37,T,.39,D,.39,M,0,.02,-.09,682,<empty>,,
,,8.37,I,0,.00,1.00,672,<empty>,8.07,P,8.79,P,17 AUG 26,723,.46,W,.48,P,.47,X,0,.02,-.11,"1,529",<empty>,,
,,7.07,C,0,.00,1.00,528,<empty>,7.12,A,7.59,P,17 AUG 26,724,.56,S,.59,D,.57,H,0,.02,-.13,"1,958",<empty>,,
,,6.55,Z,0,.00,1.00,"2,327",<empty>,6.44,W,6.63,M,17 AUG 26,725,.70,P,.72,P,.71,D,0,.03,-.15,"2,850",<empty>,,
,,5.67,N,0,.00,1.00,375,<empty>,5.62,C,5.80,I,17 AUG 26,726,.87,B,.89,J,.89,M,0,.03,-.18,571,<empty>,,
,,4.95,H,0,.00,1.00,474,<empty>,4.84,E,5.00,C,17 AUG 26,727,1.08,Q,1.10,P,1.08,N,0,.03,-.21,913,<empty>,,
,,4.21,E,0,.00,1.00,318,<empty>,4.13,H,4.25,I,17 AUG 26,728,1.32,P,1.35,P,1.32,A,0,.03,-.24,661,<empty>,,
,,3.48,X,0,.00,1.00,338,<empty>,3.44,I,3.50,M,17 AUG 26,729,1.62,Q,1.65,P,1.62,S,0,.04,-.28,705,<empty>,,
,,2.83,X,0,.00,1.00,"1,851",<empty>,5.44,Q,2.85,S,17 AUG 26,730,1.97,M,2.00,H,1.99,I,0,.04,-.32,"4,573",<empty>,,
,,2.28,W,0,.00,1.00,957,<empty>,2.22,I,2.28,C,17 AUG 26,731,2.40,P,2.42,X,2.40,H,0,.04,-.36,"1,106",<empty>,,
,,1.79,M,0,.00,1.00,"1,323",<empty>,1.73,I,1.78,C,17 AUG 26,732,2.86,I,2.95,J,2.90,H,0,.04,-.40,"1,091",<empty>,,
,,1.37,D,0,.09,.62,"1,504",<empty>,1.32,I,3.73,Q,17 AUG 26,733,3.44,W,3.56,Z,3.44,D,0,.04,-.45,"1,369",<empty>,,
,,1.01,B,0,.19,.57,914,<empty>,.99,I,1.03,B,17 AUG 26,734,4.10,C,4.26,E,4.13,M,0,.04,-.48,473,<empty>,,
,,.76,H,0,.15,.40,"3,798",<empty>,.76,X,.77,Q,17 AUG 26,735,4.84,W,5.00,E,4.84,I,0,.03,-.52,411,<empty>,,
,,.57,M,0,.11,.29,876,<empty>,.54,T,.57,P,17 AUG 26,736,5.64,B,5.81,E,5.59,W,0,.03,-.55,65,<empty>,,
,,.42,J,0,.09,.22,614,<empty>,.40,Q,.42,W,17 AUG 26,737,6.30,P,6.77,P,6.50,N,0,.03,-.58,40,<empty>,,
,,.31,A,0,.07,.16,677,<empty>,.29,W,.31,W,17 AUG 26,738,6.98,P,7.75,P,7.15,D,0,.03,-.60,36,<empty>,,
,,.23,J,0,.05,.11,827,<empty>,.20,J,.23,E,17 AUG 26,739,7.24,C,8.60,C,9.55,A,0,.03,-.63,19,<empty>,,
,,.15,Q,0,.04,.23,"5,834",<empty>,.98,I,1.00,Q,17 AUG 26,740,8.92,C,9.54,C,8.40,P,0,.02,-.64,215,<empty>,,
,,.10,C,0,.03,.06,580,<empty>,.10,P,.11,D,17 AUG 26,741,9.15,C,10.47,C,10.94,X,0,.02,-.67,119,<empty>,,
,,.08,C,0,.02,.04,289,<empty>,.07,Z,.08,D,17 AUG 26,742,10.16,C,11.68,C,11.00,C,0,.02,-.68,6,<empty>,,
,,.06,A,0,.01,.03,637,<empty>,.04,I,.06,W,17 AUG 26,743,11.15,C,14.09,D,13.50,H,0,.02,-.67,2,<empty>,,
,,.05,A,0,.01,.02,423,<empty>,.03,I,.05,W,17 AUG 26,744,12.17,Z,15.09,D,12.87,M,0,.02,-.68,4,<empty>,,
,,.03,M,0,.01,.02,"4,595",<empty>,.03,H,.04,I,17 AUG 26,745,13.18,C,16.09,D,14.75,D,0,.02,-.69,28,<empty>,,
,,.03,S,0,.01,.01,375,<empty>,.02,B,.03,P,17 AUG 26,746,14.90,D,17.09,D,15.00,B,0,.02,-.69,4,<empty>,,
,,.03,E,0,.01,.01,418,<empty>,.01,J,.03,D,17 AUG 26,747,15.16,Z,18.09,M,16.00,C,0,.02,-.71,0,<empty>,,
,,.01,S,0,.00,.01,680,<empty>,.01,D,.03,I,17 AUG 26,748,16.18,Z,17.78,Z,17.00,N,0,.02,-.73,0,<empty>,,
,,.01,E,0,.00,.01,814,<empty>,.01,H,.03,I,17 AUG 26,749,17.63,T,18.75,C,18.00,B,0,.01,-.74,0,<empty>,,
,,.01,J,0,.00,.01,"3,333",<empty>,.01,B,.02,D,17 AUG 26,750,18.13,E,21.09,D,19.63,I,0,.01,-.73,11,<empty>,,
,,.02,B,0,.00,.01,474,<empty>,.01,B,.02,H,17 AUG 26,751,19.15,Z,20.80,Z,22.00,C,0,.01,-.75,0,<empty>,,
,,.01,Z,0,.00,.01,233,<empty>,.01,D,.02,W,17 AUG 26,752,20.15,Z,23.09,N,0, ,0,.01,-.74,0,<empty>,,
,,.01,B,0,.00,.01,114,<empty>,.01,P,.02,D,17 AUG 26,753,21.61,T,22.80,Z,0, ,0,.01,-.76,0,<empty>,,
,,.01,N,0,.00,.00,311,<empty>,0,N,.02,I,17 AUG 26,754,22.16,Z,25.09,N,28.60,X,0,.01,-.75,0,<empty>,,
,,.01,M,0,.00,.00,"1,382",<empty>,0,N,.01,N,17 AUG 26,755,23.17,Z,26.08,N,29.61,X,0,.01,-.76,0,<empty>,,
,,.01,N,0,.00,.00,150,<empty>,0,X,.01,H,17 AUG 26,756,24.17,Z,27.09,N,32.52,D,0,.01,-.76,1,<empty>,,
,,.01,E,0,.00,.00,96,<empty>,0,Z,.02,I,17 AUG 26,757,25.17,Z,28.09,N,0, ,0,.01,-.77,0,<empty>,,
,,.01,C,0,.00,.00,106,<empty>,0,N,.02,I,17 AUG 26,758,26.45,X,27.79,Z,0, ,0,.01,-.78,0,<empty>,,
,,.01,E,0,.00,.00,112,<empty>,0,N,.02,I,17 AUG 26,759,27.18,Z,30.09,N,0, ,0,.01,-.77,0,<empty>,,
,,.01,C,0,.00,.00,336,<empty>,0,A,.01,H,17 AUG 26,760,28.18,Z,31.09,N,0, ,0,.01,-.78,0,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,761,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,762,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,763,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,764,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,.01,M,0,.00,.00,664,<empty>,0,N,.02,I,17 AUG 26,765,33.19,Z,36.09,N,35.00,H,0,.01,-.79,3,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,766,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,767,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,768,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,769,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,.02,I,0,.00,.00,150,<empty>,0,N,.01,D,17 AUG 26,770,37.41,W,41.09,N,0, ,0,.01,-.82,0,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,771,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,772,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,773,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>, ,<empty>, ,17 AUG 26,774,<empty>, ,<empty>, ,<empty>, ,<empty>,<empty>,<empty>,<empty>,<empty>,,
,,.02,X,0,.00,.00,143,<empty>,0,T,.02,M,17 AUG 26,775,42.41,W,46.09,N,0, ,0,.01,-.83,0,<empty>,,
